address,geometry
"30560 MILFORD ROAD, NEW HUDSON, MI","[-83.61501249999999, 42.5147418]"
"10200 TELEGRAPH, CARLETON, MI","[-83.3415752, 42.0248013]"
"81600 BELLE RIVER ROAD, MEMPHIS, MI","[-82.7725928, 42.9005916]"
"777 BASELINE ROAD, NORTHVILLE, MI","[-83.4741073, 42.43929720000001]"
"21405 NAPIER, NORTHVILLE, MI","[-83.5535483, 42.4413294]"
"935 W M 36, PINCKNEY, MI","[-83.9728847, 42.4650572]"
"587 W. ANN ARBOR TRAIL, PLYMOUTH, MI","[-83.46749419999999, 42.3692157]"
"39950 ANN ARBOR, PLYMOUTH, MI","[-83.4336215, 42.359617]"
"15257 BECK ROAD, PLYMOUTH TOWNSHIP, MI","[-83.5111141, 42.3935733]"
"22421 HURON RIVER DRIVE, ROCKWOOD, MI","[-83.2508726, 42.068762]"
"568 SMITH, DETROIT, MI","[-83.0680794, 42.375616]"
"28001 CITRIN DR., ROMULUS, MI","[-83.3097049, 42.2450892]"
"1335 E. MICHIGAN AVE, SALINE, MI","[-83.75966749999999, 42.1784709]"
"LAKE STREET, SOUTH LYON, MI","[-83.6465848, 42.4608727]"
"201 N. LAFAYETTE STREET, SOUTH LYON, MI","[-83.6518414, 42.4617061]"
"21840 EUREKA, TAYLOR, MI","[-83.2477152, 42.1984354]"
"22350 WICK ROAD, TAYLOR, MI","[-83.2545106, 42.2416426]"
"20777 EUREKA RD, TAYLOR, MI","[-83.23719899999999, 42.196371]"
"22308 WICK, TAYLOR, MI","[-83.25377879999999, 42.2417377]"
"15333 RANCHO, TAYLOR, MI","[-83.2471715, 42.1953704]"
"21200 PENN, TAYLOR, MI","[-83.2421947, 42.1991849]"
"1491 W. JEFFERSON, TRENTON, MI","[-83.1742842, 42.1578761]"
"19800 WEST ROAD, WOODHAVEN, MI","[-83.2259637, 42.1408886]"
"22750 ALLEN ROAD, WOODHAVEN, MI","[-83.2268017, 42.1421984]"
"39112 MICHIGAN AVE, WAYNE, MI","[-83.4250395, 42.2794145]"
"32932 WARREN RD., WESTLAND, MI","[-83.3663337, 42.33959919999999]"
"824 RIDGE RD. S., CANTON, MI","[-83.54164519999999, 42.3003613]"
