id,name,address,city,zip_code,county,full_address
U821809228,ENSOUL YOGA,6505 WOODWARD,DETROIT,48202,WAYNE,"6505 WOODWARD, DETROIT, MI"
U821609803,RESIDENTIAL HOME,78 E EUCLID,DETROIT,48202,WAYNE,"78 E EUCLID, DETROIT, MI"
U821609915,VACANT HOUSE,15000 WARD,DETROIT,48202,WAYNE,"15000 WARD, DETROIT, MI"
U821902550,RESIDENCE,1141 E. NEVADA,DETROIT,48203,WAYNE,"1141 E. NEVADA, DETROIT, MI"
U821902807,RESIDENCE,19232 CARDONI,DETROIT,48203,WAYNE,"19232 CARDONI, DETROIT, MI"
U821903360,RESIDENCE,18138 CARDONI ST,DETROIT,48203,WAYNE,"18138 CARDONI ST, DETROIT, MI"
U821903368,RESIDENCE,1133 E. NEVADA ST,DETROIT,48203,WAYNE,"1133 E. NEVADA ST, DETROIT, MI"
U821910850,RESIDENCE,20430 EXETER,DETROIT,48203,WAYNE,"20430 EXETER, DETROIT, MI"
U822001111,RESIDENTIAL,266 W. NEVADA,DETROIT,48203,WAYNE,"266 W. NEVADA, DETROIT, MI"
U821609805,RESIDENTIAL HOME,101 MARGARET ST,DETROIT,48203,WAYNE,"101 MARGARET ST, DETROIT, MI"
U821803510,RESIDENTIAL PROPERTY,20521 FAYETTE,DETROIT,48203,WAYNE,"20521 FAYETTE, DETROIT, MI"
U821509353,APARTMENT BUILDING,21 E. GRAND,HIGHLAND PARK,48203,WAYNE,"21 E. GRAND, HIGHLAND PARK, MI"
U821603229,COMMERCIAL PROPERTY,16508 HAMILTON,HIGHLAND PARK,48203,WAYNE,"16508 HAMILTON, HIGHLAND PARK, MI"
U821702956,COMMERCIAL/INDUSTRIAL FACILITY,15550-15630 WOODROW WILSON,HIGHLAND PARK,48203,WAYNE,"15550-15630 WOODROW WILSON, HIGHLAND PARK, MI"
U821700098,EMERGENCY DEMO,139 TENNYSON STREET,HIGHLAND PARK,48203,WAYNE,"139 TENNYSON STREET, HIGHLAND PARK, MI"
U822101202,NOT APPICABLE,7401 W GRAND RIVER,DETROIT,48204,WAYNE,"7401 W GRAND RIVER, DETROIT, MI"
U821609793,RESIDENCE,1777 W. WARREN,DETROIT,48204,WAYNE,"1777 W. WARREN, DETROIT, MI"
U821905981,RESIDENCE,12074 INDIANA,DETROIT,48204,WAYNE,"12074 INDIANA, DETROIT, MI"
U821906058,RESIDENCE,12078 CHERRYLAWN,DETROIT,48204,WAYNE,"12078 CHERRYLAWN, DETROIT, MI"
U822000979,RESIDENCE,5409 VAN COUVER,DETROIT,48204,WAYNE,"5409 VAN COUVER, DETROIT, MI"
U821605900,DETROIT BEHAVORIAL INSTITUTE,15255 MAYFIELD,DETROIT,48205,WAYNE,"15255 MAYFIELD, DETROIT, MI"
U821805752,RESIDENCE,14444 FLANDERS,DETROIT,48205,WAYNE,"14444 FLANDERS, DETROIT, MI"
U821910836,RESIDENCE,14461 ALMA,DETROIT,48205,WAYNE,"14461 ALMA, DETROIT, MI"
U822000845,APARTMENT BUILDING,1442 CALVERT,DETROIT,48206,WAYNE,"1442 CALVERT, DETROIT, MI"
